41 41 
25 7 E
35 39 N
1 1 N
1 2 N
1 3 N
1 4 N
1 5 N
1 7 N
1 8 N
1 9 N
1 10 N
1 11 N
1 12 N
1 13 N
1 15 N
1 16 N
1 17 N
1 18 N
1 19 N
1 21 N
1 23 N
1 24 N
1 25 N
1 26 N
1 27 N
1 28 N
1 29 N
1 30 N
1 31 N
1 32 N
1 33 N
1 35 N
1 37 N
1 38 N
1 39 N
2 5 N
2 9 N
2 15 N
2 19 N
2 21 N
2 31 N
2 33 N
2 35 N
2 37 N
2 39 N
3 1 N
3 3 N
3 5 N
3 6 N
3 7 N
3 9 N
3 10 N
3 11 N
3 12 N
3 13 N
3 14 N
3 15 N
3 17 N
3 19 N
3 20 N
3 21 N
3 23 N
3 24 N
3 25 N
3 26 N
3 27 N
3 28 N
3 29 N
3 31 N
3 32 N
3 33 N
3 35 N
3 36 N
3 37 N
3 39 N
4 1 N
4 3 N
4 7 N
4 9 N
4 17 N
4 21 N
4 23 N
4 27 N
4 29 N
4 31 N
4 33 N
4 35 N
4 37 N
4 39 N
5 1 N
5 2 N
5 3 N
5 4 N
5 5 N
5 6 N
5 7 N
5 9 N
5 10 N
5 11 N
5 13 N
5 14 N
5 15 N
5 16 N
5 17 N
5 18 N
5 19 N
5 21 N
5 22 N
5 23 N
5 25 N
5 26 N
5 27 N
5 29 N
5 31 N
5 32 N
5 33 N
5 35 N
5 37 N
5 39 N
6 1 N
6 11 N
6 13 N
6 19 N
6 21 N
6 29 N
6 31 N
6 33 N
6 39 N
7 1 N
7 2 N
7 3 N
7 5 N
7 6 N
7 7 N
7 9 N
7 10 N
7 11 N
7 13 N
7 14 N
7 15 N
7 16 N
7 17 N
7 19 N
7 21 N
7 23 N
7 24 N
7 25 N
7 26 N
7 27 N
7 29 N
7 30 N
7 31 N
7 32 N
7 33 N
7 34 N
7 35 N
7 36 N
7 37 N
7 38 N
7 39 N
8 3 N
8 7 N
8 9 N
8 13 N
8 17 N
8 19 N
8 21 N
8 23 N
8 27 N
8 29 N
8 39 N
9 1 N
9 2 N
9 3 N
9 5 N
9 6 N
9 7 N
9 9 N
9 11 N
9 12 N
9 13 N
9 14 N
9 15 N
9 16 N
9 17 N
9 19 N
9 21 N
9 22 N
9 23 N
9 25 N
9 26 N
9 27 N
9 29 N
9 31 N
9 32 N
9 33 N
9 34 N
9 35 N
9 36 N
9 37 N
9 39 N
10 1 N
10 5 N
10 7 N
10 9 N
10 11 N
10 13 N
10 17 N
10 19 N
10 25 N
10 27 N
10 31 N
10 37 N
10 39 N
11 1 N
11 3 N
11 4 N
11 5 N
11 7 N
11 9 N
11 11 N
11 13 N
11 14 N
11 15 N
11 16 N
11 17 N
11 19 N
11 21 N
