40 40
1 1 N
11 11 N
0 27 N
1 2 N
1 3 N
1 4 N
1 5 N
1 6 N
1 7 N
1 8 N
1 9 N
1 10 N
1 11 N
1 12 N
1 13 N
1 14 N
1 15 N
1 16 N
1 17 N
1 18 N
1 19 N
1 20 N
1 21 N
1 22 N
1 23 N
1 24 N
1 25 N
1 26 N
1 27 N
1 28 N
1 29 N
1 30 N
1 31 N
1 32 N
1 33 N
1 34 N
1 35 N
1 36 N
1 37 N
1 38 N
2 1 N
2 2 N
2 3 N
2 25 N
2 27 N
2 38 N
3 1 N
3 2 N
3 3 N
3 4 N
3 5 N
3 6 N
3 7 N
3 8 N
3 9 N
3 10 N
3 11 N
3 12 N
3 13 N
3 14 N
3 15 N
3 25 N
3 38 N
4 1 N
4 3 N
4 4 N
4 5 N
4 15 N
4 16 N
4 17 N
4 18 N
4 19 N
4 20 N
4 21 N
4 22 N
4 25 N
4 38 N
5 1 N
5 3 N
5 4 N
5 5 N
5 15 N
5 22 N
5 25 N
5 38 N
6 1 N
6 3 N
6 5 N
6 14 N
6 15 N
6 16 N
6 22 N
6 25 N
6 38 N
7 1 N
7 3 N
7 5 N
7 15 N
7 22 N
7 25 N
7 38 N
8 1 N
8 3 N
8 5 N
8 15 N
8 22 N
8 25 N
8 38 N
9 1 N
9 3 N
9 5 N
9 15 N
9 22 N
9 25 N
9 38 N
10 1 N
10 3 N
10 5 N
10 15 N
10 22 N
10 25 N
10 38 N
11 1 N
11 3 N
11 5 N
11 15 N
11 22 N
11 25 N
11 26 N
11 27 N
11 28 N
11 29 N
11 30 N
11 31 N
11 32 N
11 33 N
11 34 N
11 35 N
11 36 N
11 37 N
11 38 N
12 1 N
12 3 N
12 5 N
12 11 N
12 15 N
12 22 N
13 1 N
13 3 N
13 5 N
13 6 N
13 7 N
13 8 N
13 9 N
13 10 N
13 11 N
13 15 N
13 16 N
13 17 N
13 18 N
13 19 N
13 20 N
13 21 N
13 22 N
14 1 N
14 3 N
15 1 N
15 3 N
15 6 N
16 1 N
16 3 N
16 4 N
16 5 N
16 6 N
16 7 N
16 8 N
16 9 N
16 10 N
16 11 N
17 1 N
17 4 N
17 6 N
17 11 N
18 1 N
18 4 N
18 11 N
19 1 N
19 4 N
19 11 N
20 1 N
20 4 N
20 11 N
21 1 N
21 4 N
21 11 N
22 1 N
22 4 N
22 11 N
23 1 N
23 4 N
23 11 N
24 1 N
24 4 N
24 11 N
25 1 N
25 4 N
25 5 N
25 6 N
25 7 N
25 8 N
25 9 N
25 10 N
25 11 N
26 1 N
27 1 N
27 2 N
27 3 N
27 4 N
27 5 N
27 6 N
27 7 N
27 8 N
27 9 N
27 10 N
27 11 N
27 12 N
27 13 N
27 14 N
27 15 N
27 16 N
28 1 N
28 16 N
29 0 N
29 1 N
29 2 N
29 16 N
30 1 N
30 16 N
31 1 N
31 16 N
32 1 N
32 16 N
33 1 N
33 16 N
34 1 N
34 16 N
35 1 N
35 16 N
36 1 N
36 16 N
37 1 N
37 16 N
38 1 N
38 2 N
38 3 N
38 4 N
38 5 N
38 6 N
38 7 N
38 8 N
38 9 N
38 10 N
38 11 N
38 12 N
38 13 N
38 14 N
38 15 N
38 16 N
