40 40
1 1 N
38 38 N
0 6 N
0 7 N
0 10 N
0 11 N
0 12 N
0 13 N
0 14 N
0 15 N
0 16 N
0 17 N
0 18 N
0 19 N
1 2 N
1 3 N
1 4 N
1 7 N
1 19 N
2 1 N
2 4 N
2 5 N
2 6 N
2 7 N
2 8 N
2 9 N
2 10 N
2 11 N
2 12 N
2 13 N
2 14 N
2 15 N
2 16 N
2 19 N
3 1 N
3 2 N
3 3 N
3 4 N
3 6 N
3 8 N
3 10 N
3 12 N
3 16 N
3 17 N
3 18 N
3 19 N
3 20 N
3 21 N
3 22 N
3 33 N
3 34 N
4 1 N
4 5 N
4 6 N
4 7 N
4 8 N
4 9 N
4 10 N
4 12 N
4 14 N
4 16 N
4 19 N
4 22 N
4 23 N
4 24 N
4 25 N
4 26 N
4 27 N
4 28 N
4 29 N
4 30 N
4 31 N
4 34 N
4 36 N
5 1 N
5 2 N
5 4 N
5 5 N
5 7 N
5 9 N
5 12 N
5 13 N
5 14 N
5 15 N
5 16 N
5 17 N
5 22 N
5 28 N
5 31 N
5 34 N
5 35 N
5 36 N
5 37 N
5 38 N
6 1 N
6 2 N
6 4 N
6 5 N
6 6 N
6 7 N
6 8 N
6 9 N
6 10 N
6 13 N
6 15 N
6 17 N
6 18 N
6 19 N
6 20 N
6 22 N
6 24 N
6 25 N
6 26 N
6 27 N
6 28 N
6 29 N
6 31 N
6 34 N
6 37 N
7 1 N
7 2 N
7 7 N
7 9 N
7 12 N
7 13 N
7 14 N
7 15 N
7 16 N
7 17 N
7 20 N
7 22 N
7 24 N
7 29 N
7 31 N
7 34 N
7 36 N
7 37 N
8 1 N
8 2 N
8 3 N
8 4 N
8 5 N
8 7 N
8 9 N
8 12 N
8 14 N
8 16 N
8 17 N
8 20 N
8 22 N
8 24 N
8 26 N
8 27 N
8 29 N
8 31 N
8 34 N
8 37 N
8 38 N
9 1 N
9 2 N
9 5 N
9 7 N
9 9 N
9 12 N
9 13 N
9 14 N
9 15 N
9 16 N
9 20 N
9 21 N
9 22 N
9 24 N
9 25 N
9 26 N
9 27 N
9 29 N
9 31 N
9 34 N
9 37 N
10 1 N
10 3 N
10 4 N
10 5 N
10 6 N
10 7 N
10 9 N
10 15 N
10 18 N
10 20 N
10 21 N
10 22 N
10 24 N
10 26 N
10 29 N
10 31 N
10 34 N
10 36 N
10 37 N
10 38 N
11 0 N
11 1 N
11 2 N
11 6 N
11 9 N
11 11 N
11 13 N
11 15 N
11 18 N
11 24 N
11 26 N
11 27 N
11 28 N
11 29 N
11 31 N
11 34 N
11 37 N
12 0 N
12 2 N
12 4 N
12 6 N
12 7 N
12 8 N
12 9 N
12 11 N
12 13 N
12 15 N
12 17 N
12 18 N
12 19 N
12 20 N
12 24 N
12 29 N
12 31 N
12 34 N
12 36 N
12 37 N
12 38 N
13 0 N
13 1 N
13 2 N
13 4 N
13 6 N
13 7 N
13 8 N
13 9 N
13 11 N
13 12 N
13 13 N
13 15 N
13 18 N
13 19 N
13 24 N
13 25 N
13 26 N
13 27 N
13 28 N
13 29 N
13 30 N
13 31 N
13 34 N
13 37 N
14 0 N
14 2 N
14 4 N
14 5 N
14 6 N
14 7 N
14 8 N
14 9 N
14 11 N
14 13 N
14 15 N
14 18 N
14 19 N
14 34 N
14 37 N
14 38 N
15 0 N
15 2 N
15 9 N
15 11 N
15 15 N
15 17 N
15 18 N
15 21 N
15 22 N
15 23 N
15 25 N
15 26 N
15 27 N
15 28 N
15 29 N
15 30 N
15 31 N
15 32 N
15 33 N
15 34 N
15 35 N
15 38 N
16 0 N
16 1 N
16 2 N
16 4 N
16 5 N
16 6 N
16 7 N
16 9 N
16 10 N
16 11 N
16 12 N
16 13 N
16 14 N
16 15 N
16 18 N
16 19 N
16 20 N
16 21 N
16 23 N
16 24 N
16 25 N
16 27 N
16 29 N
16 36 N
16 37 N
16 38 N
17 0 N
17 2 N
17 4 N
17 5 N
17 6 N
17 7 N
17 9 N
17 11 N
17 21 N
17 22 N
17 23 N
